State,Region,Date,Year,Year_Label,Month,MedianHomeValue,MedianHouseholdIncome,PriceToIncomeRatio,AffordabilityCategory,SizeRank
Alabama,South,2014-12-31,2014,2014,12,133482.86,47801,2.792,5 - Affordable (Under 3.5x),23
Alabama,South,2015-01-31,2015,2015,1,133380.33,48614,2.744,5 - Affordable (Under 3.5x),23
Alabama,South,2015-02-28,2015,2015,2,133269.82,48614,2.741,5 - Affordable (Under 3.5x),23
Alabama,South,2015-03-31,2015,2015,3,133370.54,48614,2.743,5 - Affordable (Under 3.5x),23
Alabama,South,2015-04-30,2015,2015,4,133868.2,48614,2.754,5 - Affordable (Under 3.5x),23
Alabama,South,2015-05-31,2015,2015,5,134500.52,48614,2.767,5 - Affordable (Under 3.5x),23
Alabama,South,2015-06-30,2015,2015,6,135030.15,48614,2.778,5 - Affordable (Under 3.5x),23
Alabama,South,2015-07-31,2015,2015,7,135389.52,48614,2.785,5 - Affordable (Under 3.5x),23
Alabama,South,2015-08-31,2015,2015,8,135722.99,48614,2.792,5 - Affordable (Under 3.5x),23
Alabama,South,2015-09-30,2015,2015,9,136016.78,48614,2.798,5 - Affordable (Under 3.5x),23
Alabama,South,2015-10-31,2015,2015,10,136426.91,48614,2.806,5 - Affordable (Under 3.5x),23
Alabama,South,2015-11-30,2015,2015,11,136808.55,48614,2.814,5 - Affordable (Under 3.5x),23
Alabama,South,2015-12-31,2015,2015,12,137356.56,48614,2.825,5 - Affordable (Under 3.5x),23
Alabama,South,2016-01-31,2016,2016,1,137971.09,50006,2.759,5 - Affordable (Under 3.5x),23
Alabama,South,2016-02-29,2016,2016,2,138657.66,50006,2.773,5 - Affordable (Under 3.5x),23
Alabama,South,2016-03-31,2016,2016,3,139009.14,50006,2.78,5 - Affordable (Under 3.5x),23
Alabama,South,2016-04-30,2016,2016,4,139361.64,50006,2.787,5 - Affordable (Under 3.5x),23
Alabama,South,2016-05-31,2016,2016,5,139574.11,50006,2.791,5 - Affordable (Under 3.5x),23
Alabama,South,2016-06-30,2016,2016,6,139918.2,50006,2.798,5 - Affordable (Under 3.5x),23
Alabama,South,2016-07-31,2016,2016,7,139984.4,50006,2.799,5 - Affordable (Under 3.5x),23
Alabama,South,2016-08-31,2016,2016,8,140160.33,50006,2.803,5 - Affordable (Under 3.5x),23
Alabama,South,2016-09-30,2016,2016,9,140463.82,50006,2.809,5 - Affordable (Under 3.5x),23
Alabama,South,2016-10-31,2016,2016,10,140977.49,50006,2.819,5 - Affordable (Under 3.5x),23
Alabama,South,2016-11-30,2016,2016,11,141483.23,50006,2.829,5 - Affordable (Under 3.5x),23
Alabama,South,2016-12-31,2016,2016,12,141994.05,50006,2.84,5 - Affordable (Under 3.5x),23
Alabama,South,2017-01-31,2017,2017,1,142434.59,51068,2.789,5 - Affordable (Under 3.5x),23
Alabama,South,2017-02-28,2017,2017,2,142747.5,51068,2.795,5 - Affordable (Under 3.5x),23
Alabama,South,2017-03-31,2017,2017,3,142940.51,51068,2.799,5 - Affordable (Under 3.5x),23
Alabama,South,2017-04-30,2017,2017,4,143122.54,51068,2.803,5 - Affordable (Under 3.5x),23
Alabama,South,2017-05-31,2017,2017,5,143256.01,51068,2.805,5 - Affordable (Under 3.5x),23
Alabama,South,2017-06-30,2017,2017,6,143358.52,51068,2.807,5 - Affordable (Under 3.5x),23
Alabama,South,2017-07-31,2017,2017,7,143629.98,51068,2.813,5 - Affordable (Under 3.5x),23
Alabama,South,2017-08-31,2017,2017,8,144091.64,51068,2.822,5 - Affordable (Under 3.5x),23
Alabama,South,2017-09-30,2017,2017,9,144710.37,51068,2.834,5 - Affordable (Under 3.5x),23
Alabama,South,2017-10-31,2017,2017,10,145347.95,51068,2.846,5 - Affordable (Under 3.5x),23
Alabama,South,2017-11-30,2017,2017,11,146013.13,51068,2.859,5 - Affordable (Under 3.5x),23
Alabama,South,2017-12-31,2017,2017,12,146602.73,51068,2.871,5 - Affordable (Under 3.5x),23
Alabama,South,2018-01-31,2018,2018,1,147127.05,51993,2.83,5 - Affordable (Under 3.5x),23
Alabama,South,2018-02-28,2018,2018,2,147558.31,51993,2.838,5 - Affordable (Under 3.5x),23
Alabama,South,2018-03-31,2018,2018,3,148260.12,51993,2.852,5 - Affordable (Under 3.5x),23
Alabama,South,2018-04-30,2018,2018,4,148802.23,51993,2.862,5 - Affordable (Under 3.5x),23
Alabama,South,2018-05-31,2018,2018,5,149294.58,51993,2.871,5 - Affordable (Under 3.5x),23
Alabama,South,2018-06-30,2018,2018,6,149461.11,51993,2.875,5 - Affordable (Under 3.5x),23
Alabama,South,2018-07-31,2018,2018,7,149892.54,51993,2.883,5 - Affordable (Under 3.5x),23
Alabama,South,2018-08-31,2018,2018,8,150410.82,51993,2.893,5 - Affordable (Under 3.5x),23
Alabama,South,2018-09-30,2018,2018,9,151028.01,51993,2.905,5 - Affordable (Under 3.5x),23
Alabama,South,2018-10-31,2018,2018,10,151312.51,51993,2.91,5 - Affordable (Under 3.5x),23
Alabama,South,2018-11-30,2018,2018,11,151736.78,51993,2.918,5 - Affordable (Under 3.5x),23
Alabama,South,2018-12-31,2018,2018,12,152274.45,51993,2.929,5 - Affordable (Under 3.5x),23
Alabama,South,2019-01-31,2019,2019,1,153192.86,52913,2.895,5 - Affordable (Under 3.5x),23
Alabama,South,2019-02-28,2019,2019,2,154285.74,52913,2.916,5 - Affordable (Under 3.5x),23
Alabama,South,2019-03-31,2019,2019,3,155553.82,52913,2.94,5 - Affordable (Under 3.5x),23
Alabama,South,2019-04-30,2019,2019,4,156546.1,52913,2.959,5 - Affordable (Under 3.5x),23
Alabama,South,2019-05-31,2019,2019,5,157201.8,52913,2.971,5 - Affordable (Under 3.5x),23
Alabama,South,2019-06-30,2019,2019,6,157729.12,52913,2.981,5 - Affordable (Under 3.5x),23
Alabama,South,2019-07-31,2019,2019,7,158388.52,52913,2.993,5 - Affordable (Under 3.5x),23
Alabama,South,2019-08-31,2019,2019,8,159172.22,52913,3.008,5 - Affordable (Under 3.5x),23
Alabama,South,2019-09-30,2019,2019,9,159775.76,52913,3.02,5 - Affordable (Under 3.5x),23
Alabama,South,2019-10-31,2019,2019,10,160556.56,52913,3.034,5 - Affordable (Under 3.5x),23
Alabama,South,2019-11-30,2019,2019,11,161620.86,52913,3.054,5 - Affordable (Under 3.5x),23
Alabama,South,2019-12-31,2019,2019,12,162988.41,52913,3.08,5 - Affordable (Under 3.5x),23
Alabama,South,2020-01-31,2020,2020,1,164261.1,54233,3.029,5 - Affordable (Under 3.5x),23
Alabama,South,2020-02-29,2020,2020,2,165322.37,54233,3.048,5 - Affordable (Under 3.5x),23
Alabama,South,2020-03-31,2020,2020,3,166410.74,54233,3.068,5 - Affordable (Under 3.5x),23
Alabama,South,2020-04-30,2020,2020,4,167542.98,54233,3.089,5 - Affordable (Under 3.5x),23
Alabama,South,2020-05-31,2020,2020,5,168500.92,54233,3.107,5 - Affordable (Under 3.5x),23
Alabama,South,2020-06-30,2020,2020,6,169314.44,54233,3.122,5 - Affordable (Under 3.5x),23
Alabama,South,2020-07-31,2020,2020,7,170179.97,54233,3.138,5 - Affordable (Under 3.5x),23
Alabama,South,2020-08-31,2020,2020,8,171476.91,54233,3.162,5 - Affordable (Under 3.5x),23
Alabama,South,2020-09-30,2020,2020,9,173396.35,54233,3.197,5 - Affordable (Under 3.5x),23
Alabama,South,2020-10-31,2020,2020,10,175569.56,54233,3.237,5 - Affordable (Under 3.5x),23
Alabama,South,2020-11-30,2020,2020,11,177875.87,54233,3.28,5 - Affordable (Under 3.5x),23
Alabama,South,2020-12-31,2020,2020,12,179853.33,54233,3.316,5 - Affordable (Under 3.5x),23
Alabama,South,2021-01-31,2021,2021,1,181702.33,55295,3.286,5 - Affordable (Under 3.5x),23
Alabama,South,2021-02-28,2021,2021,2,183618.27,55295,3.321,5 - Affordable (Under 3.5x),23
Alabama,South,2021-03-31,2021,2021,3,185709.03,55295,3.359,5 - Affordable (Under 3.5x),23
Alabama,South,2021-04-30,2021,2021,4,188036.8,55295,3.401,5 - Affordable (Under 3.5x),23
Alabama,South,2021-05-31,2021,2021,5,190649.77,55295,3.448,5 - Affordable (Under 3.5x),23
Alabama,South,2021-06-30,2021,2021,6,193635.34,55295,3.502,4 - Borderline (3.5-4x),23
Alabama,South,2021-07-31,2021,2021,7,196595.28,55295,3.555,4 - Borderline (3.5-4x),23
Alabama,South,2021-08-31,2021,2021,8,198906.78,55295,3.597,4 - Borderline (3.5-4x),23
Alabama,South,2021-09-30,2021,2021,9,200399.36,55295,3.624,4 - Borderline (3.5-4x),23
Alabama,South,2021-10-31,2021,2021,10,201824.84,55295,3.65,4 - Borderline (3.5-4x),23
Alabama,South,2021-11-30,2021,2021,11,203783.69,55295,3.685,4 - Borderline (3.5-4x),23
Alabama,South,2021-12-31,2021,2021,12,205930.24,55295,3.724,4 - Borderline (3.5-4x),23
