RegionName,Year,Home_price,MORTGAGE30US,Median_Income
Delaware,2026,396012.012106437,6.084545455,
Texas,2022,303346.021652865,5.344038462,74580
Oklahoma,2023,200934.918780075,6.806730769,80610
Montana,2016,222554.036328267,3.654038462,59040
Montana,2000,,8.053461538,41990
Kentucky,2001,95669.991819112,6.967884615,42230
Washington,2004,221383.793758558,5.839230769,44330
Wisconsin,2006,173307.970305479,6.413269231,48200
New Mexico,2017,177341.32811151,3.989807692,61140
Arkansas,2000,90038.922452416,8.053461538,41990
Oklahoma,2017,128478.848882495,3.989807692,61140
Vermont,2021,312603.266574737,2.957692308,70780
New York,2018,320088.619549397,4.544615385,63180
Louisiana,2004,132263.912037444,5.839230769,44330
Louisiana,2013,161178.584740132,3.975576923,53590
New Jersey,2021,410688.018465561,2.957692308,70780
District of Columbia,2005,347663.983994447,5.866730769,46330
Minnesota,2009,175904.150212618,5.036538462,49780
Montana,2024,441815.643805594,6.721153846,83730
Rhode Island,2006,296984.62849106,6.413269231,48200
District of Columbia,2003,244952.428284615,5.826981132,43320
Alaska,2020,312052.21177692,3.111698113,68010
Missouri,2011,122599.473225968,4.447884615,50050
New Jersey,2007,358647.48692863,6.337307692,50230
Maine,2004,170874.666501244,5.839230769,44330
Washington,2007,318617.470212155,6.337307692,50230
Texas,2012,136176.203646406,3.6575,51020
Indiana,2004,106657.044939996,5.839230769,44330
Alaska,2018,283844.01532787,4.544615385,63180
Maine,2010,176803.442955142,4.689807692,49280
Iowa,2023,205687.002905498,6.806730769,80610
Alaska,2022,350571.462347691,5.344038462,74580
Nevada,2014,192806.755611021,4.168867925,53660
Maryland,2001,162890.711697681,6.967884615,42230
Tennessee,2001,117018.908883,6.967884615,42230
Wyoming,2012,198118.678123637,3.6575,51020
Nebraska,2009,127008.894833876,5.036538462,49780
Michigan,2010,98869.435927205,4.689807692,49280
Ohio,2026,236724.852381822,6.084545455,
Kansas,2004,104823.352731706,5.839230769,44330
Hawaii,2007,472407.072912913,6.337307692,50230
South Carolina,2015,154605.087644812,3.850576923,56520
Delaware,2022,356545.87958235,5.344038462,74580
Hawaii,2021,695969.269139486,2.957692308,70780
Georgia,2011,125067.264834992,4.447884615,50050
Utah,2019,333333.904645555,3.935769231,68700
Arkansas,2010,120666.479817328,4.689807692,49280
Hawaii,2023,823653.551455039,6.806730769,80610
Wyoming,2011,192646.674781194,4.447884615,50050
North Dakota,2000,,8.053461538,41990
Maryland,2003,203734.546340616,5.826981132,43320
South Dakota,2013,156904.590257053,3.975576923,53590
Montana,2005,161436.040762929,5.866730769,46330
South Carolina,2022,277321.280283495,5.344038462,74580
Indiana,2017,134304.066476822,3.989807692,61140
Louisiana,2021,206340.797237312,2.957692308,70780
Louisiana,2024,208238.340864513,6.721153846,83730
Oklahoma,2004,98154.780105213,5.839230769,44330
Wisconsin,2025,310776.505487253,6.595094340,
Wisconsin,2003,141958.989873816,5.826981132,43320
Nebraska,2026,270857.21893564,6.084545455,
North Dakota,2018,215855.102897404,4.544615385,63180
Kansas,2011,114408.720737714,4.447884615,50050
Rhode Island,2011,218395.846253911,4.447884615,50050
Mississippi,2000,90315.946946126,8.053461538,41990
South Carolina,2001,121517.928743858,6.967884615,42230
Oklahoma,2016,125066.551768562,3.654038462,59040
Rhode Island,2008,264608.944288679,6.027169811,50300
Arizona,2012,147437.482685925,3.6575,51020
Arkansas,2016,134350.76271093,3.654038462,59040
Arizona,2013,174901.414709385,3.975576923,53590
Oregon,2018,341653.630594517,4.544615385,63180
Wyoming,2005,167033.201534362,5.866730769,46330
Connecticut,2006,302198.531427801,6.413269231,48200
Oklahoma,2024,207918.488935163,6.721153846,83730
